url_length,has_https,num_dots,label
116,0,4,1
55,1,4,1
107,1,4,1
118,0,3,1
93,0,2,1
69,0,2,1
84,0,1,1
76,0,1,1
62,0,2,1
38,1,5,1
79,1,2,1
25,0,1,1
66,1,2,1
50,1,2,0
38,0,1,1
115,1,5,1
37,0,2,1
89,1,5,1
71,1,1,1
104,1,3,1
25,1,3,0
73,1,4,1
28,1,2,0
26,0,2,1
18,0,5,1
32,0,2,1
79,0,1,1
53,0,3,1
21,0,4,1
94,0,5,1
30,0,4,1
59,1,4,1
111,1,4,1
41,0,5,1
42,0,2,1
54,1,4,1
89,1,4,1
38,1,3,0
83,1,1,1
50,0,3,1
92,0,3,1
50,0,2,1
94,0,3,1
69,0,3,1
22,0,1,1
107,0,5,1
55,1,2,0
97,1,1,1
70,1,2,1
76,1,3,1
50,1,2,0
59,1,4,1
86,1,3,1
21,0,2,1
21,1,5,1
94,1,5,1
41,1,1,0
33,1,3,0
13,1,3,0
102,1,2,1
33,0,1,1
50,1,4,1
31,0,4,1
108,1,1,1
26,1,5,1
88,0,2,1
29,0,1,1
32,0,4,1
34,1,5,1
59,0,3,1
67,0,3,1
66,0,2,1
99,1,4,1
89,0,5,1
65,0,5,1
45,1,4,1
120,0,5,1
21,0,2,1
75,1,5,1
119,1,5,1
79,1,4,1
74,0,1,1
24,0,5,1
103,1,1,1
30,1,5,1
58,0,1,1
82,0,3,1
57,1,4,1
114,0,3,1
54,0,4,1
63,0,1,1
54,0,3,1
66,0,4,1
59,0,1,1
43,0,1,1
85,1,4,1
106,0,5,1
79,0,5,1
45,0,2,1
36,0,4,1
34,0,2,1
71,0,5,1
73,1,5,1
90,0,2,1
22,0,2,1
37,0,3,1
111,0,1,1
45,1,1,0
116,0,2,1
12,0,1,1
56,1,5,1
100,1,1,1
77,0,3,1
18,1,5,1
88,0,3,1
61,1,5,1
27,0,3,1
97,1,1,1
11,1,4,1
43,0,4,1
82,0,2,1
60,0,5,1
16,0,4,1
108,0,3,1
100,0,5,1
47,0,2,1
108,0,1,1
88,1,2,1
33,0,4,1
54,0,2,1
75,1,5,1
79,1,5,1
38,0,4,1
42,0,4,1
20,1,4,1
115,0,5,1
20,1,5,1
24,1,2,0
88,0,3,1
13,0,2,1
106,0,5,1
21,0,3,1
101,1,1,1
54,0,3,1
75,1,1,1
49,0,5,1
101,1,2,1
71,0,1,1
23,1,4,1
30,0,2,1
90,0,4,1
65,0,5,1
51,1,3,0
19,0,5,1
31,0,5,1
47,0,4,1
65,1,1,1
95,1,4,1
107,1,5,1
25,0,5,1
11,1,5,1
100,1,5,1
33,0,1,1
83,1,3,1
80,1,1,1
82,0,4,1
46,0,1,1
93,0,4,1
42,1,4,1
39,1,5,1
86,0,1,1
89,0,4,1
30,0,5,1
11,0,1,1
30,0,5,1
77,1,5,1
21,0,5,1
118,1,1,1
20,0,1,1
52,1,1,0
63,0,3,1
67,0,3,1
89,0,1,1
92,1,1,1
82,0,5,1
31,1,3,0
60,0,3,1
66,0,3,1
68,1,5,1
57,0,5,1
35,0,1,1
93,1,4,1
57,0,1,1
110,1,3,1
108,1,1,1
28,0,5,1
53,0,2,1
59,0,5,1
84,0,1,1
96,0,1,1
