amount,location_change,device_change,fraud
109430,0,1,1
109777,0,0,0
69081,1,0,1
31511,1,0,0
142622,0,1,1
100612,1,1,1
104866,0,0,0
48614,1,1,0
85882,0,0,0
139046,1,1,1
75695,1,0,1
52243,0,1,1
73946,1,0,1
127698,1,1,1
124046,1,1,1
114774,1,1,1
94647,0,0,0
61133,0,1,1
63631,0,1,1
74476,1,0,1
96042,0,0,0
22234,0,1,0
6485,1,1,0
77621,1,0,1
19712,1,0,0
91889,0,0,0
135027,1,0,1
16908,1,1,0
101656,1,0,1
93507,0,0,0
108576,0,0,0
116751,0,0,0
98591,0,0,0
85751,0,1,1
64337,0,1,1
74423,0,0,0
117982,1,1,1
32547,0,1,0
126227,0,0,0
137003,0,0,0
78450,1,1,1
14903,1,1,0
99749,1,0,1
15797,0,0,0
145695,0,0,0
87075,0,1,1
22190,0,0,0
8561,0,1,0
29157,1,0,0
34419,0,1,0
58825,1,0,1
104323,1,0,1
42427,1,1,0
43151,0,1,0
104518,1,0,1
46805,0,0,0
62348,1,1,1
136038,1,0,1
118532,0,1,1
88823,1,1,1
102375,1,1,1
106265,0,1,1
127587,1,0,1
148399,1,0,1
27960,1,0,0
44354,0,0,0
64504,0,0,0
130248,1,1,1
122164,0,0,0
66090,1,0,1
49046,0,1,0
19403,0,0,0
24524,1,0,0
16469,1,1,0
121456,1,1,1
59847,1,1,1
86005,0,0,0
114566,0,1,1
4991,0,0,0
33484,1,0,0
40192,1,1,0
14540,1,0,0
28870,0,0,0
56696,1,1,1
1772,1,0,0
127453,0,0,0
11606,0,1,0
34283,1,0,0
85481,0,0,0
41407,1,0,0
34665,1,1,0
77072,0,1,1
26557,0,0,0
21780,0,0,0
79916,0,1,1
147740,0,0,0
67487,1,1,1
44257,0,0,0
84404,1,0,1
70491,1,1,1
128456,1,1,1
98228,1,0,1
64990,1,1,1
61842,1,0,1
22157,0,1,0
23138,1,1,0
55297,1,0,1
51644,0,0,0
66130,0,1,1
65554,1,0,1
79641,0,0,0
136213,0,1,1
15543,0,0,0
28353,1,1,0
116183,1,0,1
177,0,1,0
76792,1,1,1
43853,0,0,0
62072,1,0,1
19738,1,0,0
18819,1,0,0
112253,0,1,1
122497,0,1,1
120937,0,1,1
82197,1,1,1
121398,1,0,1
29858,1,0,0
25939,0,0,0
52648,1,0,1
14202,1,1,0
143449,0,1,1
78444,0,1,1
90215,1,0,1
7489,1,0,0
63947,1,0,1
65353,0,0,0
27189,1,1,0
141810,0,1,1
79312,0,0,0
21343,1,1,0
34588,1,0,0
104759,1,1,1
43812,0,1,0
107118,1,0,1
95921,1,1,1
82928,0,1,1
104235,1,0,1
118760,1,0,1
34535,0,0,0
107314,0,0,0
48084,0,0,0
103903,1,0,1
118718,1,0,1
96693,1,1,1
74190,1,0,1
141898,1,1,1
67266,0,1,1
147534,0,1,1
77791,0,0,0
114486,0,1,1
13047,0,1,0
106740,0,0,0
32134,0,1,0
131513,0,1,1
139906,0,0,0
55834,1,1,1
22373,1,0,0
28451,1,0,0
83599,0,0,0
74659,0,1,1
55440,0,1,1
7005,0,1,0
111916,0,0,0
21059,1,1,0
49576,0,1,0
32425,0,0,0
122252,0,0,0
29602,1,0,0
51042,0,1,1
105158,0,0,0
63451,0,0,0
74515,1,1,1
50434,0,0,0
52590,1,1,1
53480,0,0,0
56693,0,1,1
142840,0,0,0
113165,0,0,0
46944,1,0,0
37679,0,0,0
13283,0,0,0
13346,1,1,0
55100,0,1,1
115404,1,0,1
135273,0,0,0
6594,0,1,0
113440,1,0,1
17365,1,0,0
95270,1,1,1
94402,0,1,1
